Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa de Santa María del Mar;Centro de Asturias;Una cala dorada en pleno centro turístico Santa María del Mar / El Puertu cuenta con dos playas, La Llada y el Puerto. El Puerto (de arena) y La Llada (cuenta con un espacio ajardinado donde hay mesas de merendero y un pequeño bar). Con dos camping en sus inmediaciones, está rodeada del pueblo de Santa María del Mar / El Puertu. Como curiosidad, cabe señalar que a su derecha se encuentra La Ladrona, un islote con una oscura leyenda que narraba que en sus cuevas habitaba un calamar gigante.;true;;Castrillón;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento,Área Recreativa;300 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos a la playa desde 15/05 hasta 15/09. En los paseos marítimos, en las proximidades de las playas excepto en los sistemas dunares y en la península de la Peñona, se permitirá la presencia de animales de compañía durante todo el año, debiendo en todo caso ir siempre sujetos por una correa fija de longitud no superior a dos metros y, cuando fuera necesario por las características del animal, deberán ir provistos de bozal. Servicio salvamento: Temporada estival. ACCESIBLE – PRACTICABLE Tiene una rampa para poder llegar hasta la arena (bastante pendiente). ;;;;;;;;;;;+43.573365,-5.997291;/documents/39908/43434/Playa-Santa-Maria-4.jpg/ef936b9c-f673-7d6a-661d-cc6e13245747?t=1712059848016,/documents/39908/43434/Playa-Santa-Maria-3.jpeg.jpg/d13d4714-d941-0f47-a5ba-861487566f61?t=1712059236134,/documents/39908/43434/Playa-Santa-Maria-2.jpg/495c94ff-2a7d-8534-fcf4-b51ed8501571?t=1712059721947,/documents/39908/43434/Playa-Santa-Maria-1.jpg/f8f3068a-b858-72fe-5fe6-30f921819964?t=1712058957737;Playa de Santa María del Mar,,,;,,,
Playa de Barayo;Occidente de Asturias;Reserva natural formada por arena, dunas y marismas La Reserva Natural de Barayo está formada por el tramo final del río con el que comparte nombre, dunas, marismas y una playa salvaje de arena oscura. El arenal está compuesto por dos lenguas de arena, la que cubre el frente de la costa y una segunda que sirve de ribera a las aguas dulces. El acceso es peatonal, a través de una pista forestal o descendiendo por unas escaleras naturales enclavadas en el acantilado. En ambos extremos de la playa se han habilitado amplios aparcamientos. Está situada entre Sabugo y puerto de Vega.;;;Valdés y Navia;A pie fácil;Arena fina oscura;;;Aparcamiento,Surf;700 m.;Ordenanza mascotas en la playa:  Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.  ;;;;;;;;;;;+43.561548,-6.615143;/documents/39908/43467/barayo-3.jpg/0130b906-672b-9241-a3c7-e838463321fe?t=1674171608052,/documents/39908/43467/barayo-2.jpg/9eb45c46-51aa-bcdd-37ab-0f9969912490?t=1674171607441,/documents/39908/43467/PlayaBarayo_1.jpg/f7211513-17fe-eef6-73c0-146a91617891?t=1674171606232;Playa de Barayo,Playa de Barayo,Playa de Barayo;,,
Playa de Torbas;;Cala rocosa que destaca por su importancia paisajística y por la calidad de sus aguas Con una longitud de unos cuarenta metros está formada por cantos rodados, su oleaje es moderado, bajo grado de ocupación, buen acceso peatonal y carece de servicios. ;;;El Franco;A pie;Cantos rodados;;;;40 m.;Ordenanza mascotas en la playa: Está prohibida la circulación y estancia de perros y otros animales en las playas fuera de los meses señalados por el Ayuntamiento de El Franco (consultar).;;;;;;;;;;;;/documents/39908/8116247/playa-de-torbas-el-franco+%283%29.jpg/8468b83e-48a7-0236-1aee-0da5e29aecd6?t=1719302539531,/documents/39908/8116247/playa-de-torbas-el-franco+%282%29.jpg/738f7fa0-898f-f579-7f14-fb9965475b7d?t=1719302538222;Playa de Torbas en El Franco,;,
Playa de Cueva;Occidente de Asturias;Su fácil acceso y amplitud elevan su ocupación en verano En la desembocadura del Esva se abre esta playa formada por arena oscura y piedra y que está limitada en su parte más oriental por las estribaciones de Cabo Busto. Está dispuesta en forma de concha, es ancha y presenta una alta ocupación. No es accesible. Existen dos sencillos accesos principales, en función de las necesidades. Se puede llegar en coche o a pie, desde Caroyas, hasta la misma explanada de la playa. Pero también se puede caminar desde un aparcamiento habilitado en una carretera desde Caneiru. A pie, dispone de dos rutas, por el río o por el bosque.  ;true;;Valdés;A pie fácil y coche;Bolos y arena oscura;;;Aparcamiento,Servicio salvamento,Surf;480 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.  ;;;;;;;;;;;+43.549917,-6.47275;/documents/39908/43494/playa-de-cueva+%283%29.jpg/d21933e5-afcb-7970-d998-035107c22caf?t=1674171630245,/documents/39908/43494/playa-de-cueva+%284%29.jpg/d84a6a30-79f4-fcce-af7e-22a100a70127?t=1674171630930,/documents/39908/43494/playa-de-cueva+%285%29.jpg/ab196714-2b87-3a83-7b65-51d290edb916?t=1674171631608,/documents/39908/43494/playa-de-cueva+%281%29.jpg/9bee60f9-263f-0f30-7a81-43c11bb93a36?t=1674171629648;Playa Cueva / La Arena,Playa de Cueva / La Arena,Playa de Cueva / La Arena,Playa de Cueva / La Arena;,,,
Playa de San Martín o Portiellu;Oriente de Asturias;Un paraíso de olas y aguas transparentes por descubrir Entre las playas de Llanes quedan paraísos poco masificados, casi vírgenes. Uno de ellos es el que forma el arenal de San Martín, que en realidad comprende la playa de este nombre y la playa de Portiello, unidas en bajamar. Es una ensenada ventosa de arena blanca y fuerte oleaje, elegida por muchos para la práctica del surf. Destacan los restos de la ermita románica de San Martín, la playa está situada en pleno Camino de Santiago costero. En pleamar, determinadas zonas pierden por completo su espacio arenoso. Sin equipamientos.;;;Llanes;A pie díficil;Arena blanca;;;Surf,Servicio salvamento;300 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.432194,-4.795506;/documents/39908/43578/san-mart%C3%ADn-%281%29.jpg/98e345fc-82fd-100d-beca-bc09b39849c7?t=1674171714089,/documents/39908/43578/san-mart%C3%ADn-%283%29.jpg/157530ba-8c18-032f-454a-c60c20c4db16?t=1674171715320,/documents/39908/43578/PlayaArenalSanMartin1.jpg/8d1af170-8232-bed4-8727-4fcde0ac0b47?t=1674171717461,/documents/39908/43578/san-mart%C3%ADn-%282%29.jpg/11f5d730-7bce-c9d0-d620-639b7d386ac1?t=1674171714673;Playa Arenal de San Martín,Playa Arenal de San Martín,Playa Arenal de San Martín,Playa Arenal de San Martín;,,,
Playa de Santa Gadea/Pantorga;Occidente de Asturias;La belleza del paisaje se conjuga con la riqueza medioambiental Justo a la izquierda de esta playa penetran en el mar tres islotes consecutivos que llevan por nombre las Pantorgas. Estas hermosas formaciones rocosas trazan el límite del arenal y también sirven para darle nombre. Esta cala, que queda prácticamente cubierta en pleamar, está formada por cantos rodados y arena tostada oscura. Es semiurbana y muy segura para el baño, cuenta con buenos accesos y se ha convertido en un lugar idóneo para practicar pesca deportiva y windsurf. Entre los islotes se han descubierto especies protegidas singulares de esta zona.;;;Tapia de Casariego;A pie y en coche;Arena dorada;;;Playa sin Humo,Duchas,Accesible,Surf;200 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso de animales domésticos a las playas y zonas de baño, a excepción del que resulte preciso para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Queda autorizada en las playas la presencia de perros lazarillo en compañía de la persona a quien sirvan, sin perjuicio de la responsabilidad de su poseedor y/o propietario ni de las medidas que el mismo deba adoptar para evitar molestias o riesgos paro el resto de usuarios. Quienes vulneren la prohibición del número 1, o no cumplan con las condiciones preceptuadas en el número 3 anteriores, deberán abandonar de inmediato las playas con el animal, a requerimiento verbal de los Agentes de la autoridad, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Puntos accesibles: Rampa hasta la arena. Dos plazas de aparcamiento cercanas.  Silla anfibia.   ;;;;;;;;;;;+43.555555,-6.987388;/documents/39908/43431/PlayaSantaGadea1.jpg/cb49e8bf-7c4b-50cc-9ddb-55d97552eb93?t=1674171563329,/documents/39908/43431/Playa+Santa+Gadea+1.jpg/19c6e1e6-32e5-2c49-2384-63de38d2df9e?t=1674171563927,/documents/39908/43431/Playa+Santa+Gadea+2.jpg/6a679510-8785-f903-3394-d947be32fb11?t=1674171564521,/documents/39908/43431/Playa+Santa+Gadea+3.jpg/bd459883-b0d7-6396-293a-a22eb45c9572?t=1674171565215;Playa de Santa Gadea / Pantorga,Playa de Santa Gadea / Pantorga,Playa de Santa Gadea / Pantorga,Playa de Santa Gadea / Pantorga;,,,
Playa Peñadoria;Occidente de Asturias;A la sombra alargada del Faro Vidio Una playa estrecha de bolos y arena, en forma de concha y con pocas condiciones para el baño, ya que soporta un fuerte oleaje y viento. Así es Peñadoria, que además disfruta de un entorno natural privilegiado, rodeada de acantilados. De difícil acceso y con pocos servicios, tiene como atractivo principal su cercanía al Faro Vidio, desde cuyo mirador se divisa el arenal, y al núcleo urbano de Oviñana, que alberga una oferta hostelera de gran calidad. Se accede a ella a través de la localidad de Riego Abajo. Situada en la localidad de Oviñana.;;;Cudillero;A pie fácil;Bolos;;;Aparcamiento;350 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.;;;;;;;;;;;+43.58907,-6.242115;/documents/39908/43257/PlayaDoria1.jpg/10e83d28-3376-1361-2aad-3130bc9847ba?t=1674171366523;Playa Peñadoria;
Playa de Otur;Occidente de Asturias;Uno de los referentes turísticos de las playas del occidente Esta playa, de gran belleza y valor paisajístico, es una de las que registra mayor nivel de ocupación en verano. El arenal está limitado por dos arroyos y cuenta con un sistema dunar propio, aunque se encuentra en un estado bastante degradado. Situada en la localidad de Otur.;true;;Valdés;A pie fácil y coche;Arena fina oscura;;;Duchas,Aseos,Aparcamiento,Servicio salvamento;600 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. ACCESIBLE - PRACTICABLE Rampa hasta la arena.  ;;;;;;;;;;;+43.553132,-6.597459;/documents/39908/43296/playa_de_otur_4.jpg/dfe88fd7-d9d0-a94f-9578-90a48ab7ac74?t=1674171410886,/documents/39908/43296/playa_de_otur_5.jpg/75979e8c-69c6-bd98-c6e8-2a584d8a9b4c?t=1674171411532,/documents/39908/43296/playa_de_otur_7.jpg/ac67a85f-8d94-ac72-c793-05d74db29f62?t=1674171412887,/documents/39908/43296/playa_de_otur_6.jpg/6d6eef9b-8399-c037-28b3-927611cd8eb7?t=1674171412225;Playa de Otur,Playa de Otur,Playa de Otur,Playa de Otur;,,,
Playa de Poniente o de Pando;Centro de Asturias;Un arenal lúdico y deportivo en medio de la ciudad La Playa de Poniente es un arenal artificial creado a mediados de los 90 que se ha convertido en un núcleo de actividad, sobre todo en los meses estivales. Ubicada en la zona del puerto deportivo de Gijón/Xixón, ocupa el espacio que albergaba antiguos astilleros. Sus aguas, con permanente bandera verde, son ideales para la iniciación en deportes acuáticos y para el baño de los niños. Además, dispone de un parque infantil ubicado en la misma arena. Tiene una alta afluencia de público y dispone de muy buenos equipamientos.;;;Gijón;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;1.500 m.;Ordenanza mascotas en la playa: No está permitido el acceso con mascotas. Servicio salvamento: consultar Accesible - Practicable: Ficha accesibilidad;;;;;;;;;;;+43.542507,-5.672323;/documents/39908/43311/Poniente+%284%29.jpg/e6b572d3-dfef-584f-5ec5-cc07e8e7b58f?t=1674171429596,/documents/39908/43311/Poniente+%282%29.jpg/15039f56-b0c4-db25-4dfb-ea379fb19e3a?t=1674171427424,/documents/39908/43311/Poniente+%285%29.jpg/6ce85b06-4693-1eb3-f8bd-2a1f95c65c36?t=1674171430274,/documents/39908/43311/Poniente+%281%29.jpg/b3286d24-10b6-43ba-e9b8-1b98bc064e1f?t=1674171426567;Playa de Poniente,Playa de Poniente,Playa de Poniente,Playa de Poniente;,,,
Playa de Vidiago, Bretones o Novales;Oriente de Asturias;Una playa rodeada de riqueza ambiental y cultural Dividida en dos partes por un saliente rocoso, la playa de Vidiago tiene un perfil rectilíneo, arena blanca, un baño seguro y todos los servicios a disposición de los usuarios. En sus inmediaciones se encuentra el Ídolo de Peña Tú y también los Bufones de Las Arenillas. También llamada Novales o de Bretones, este amplio arenal dispone de unos buenos accesos desde el pueblo de Vidiago. Por caminos peatonales, a través de la rasa costera, también se puede llegar desde Buelna. Registra una alta ocupación en verano.;;;Llanes;A pie fácil, coche y tren. Acceso desde Vidiago y Buelna.;Arena blanca y grava;;;Aparcamiento,Servicio salvamento,Surf;200 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.40165,-4.65198;/documents/39908/43527/PlayaVidiago1.jpg/28cf04d1-a28b-a81f-87fe-5823499b9a52?t=1674171664776;Playa de Vidiago / Novales;
